# 3-Component Decay Chain Output
# Input parameters:
#   Half-life A (h): 1.97
#   Half-life B (h): 9.91
#   Na0: 100.0  Nb0: 0.0  Nc0: 0.0
#   tfinal (h): 50.0
#
# t(h)    NA        NB        NC        Total
4.6700   19.337077   65.896880   14.766044   100.000000
4.6800   19.269159   65.918699   14.812142   100.000000
4.6900   19.201479   65.940265   14.858256   100.000000
4.7000   19.134037   65.961578   14.904385   100.000000
4.7100   19.066832   65.982639   14.950529   100.000000
4.7200   18.999863   66.003450   14.996687   100.000000
4.7300   18.933129   66.024011   15.042860   100.000000
4.7400   18.866630   66.044323   15.089047   100.000000
4.7500   18.800364   66.064388   15.135248   100.000000
4.7600   18.734331   66.084206   15.181463   100.000000
4.7700   18.668530   66.103778   15.227692   100.000000
4.7800   18.602960   66.123106   15.273935   100.000000
4.7900   18.537620   66.142189   15.320191   100.000000
4.8000   18.472510   66.161030   15.366460   100.000000
4.8100   18.407628   66.179630   15.412742   100.000000
4.8200   18.342974   66.197988   15.459038   100.000000
4.8300   18.278548   66.216107   15.505346   100.000000
4.8400   18.214347   66.233986   15.551666   100.000000
4.8500   18.150373   66.251628   15.597999   100.000000
4.8600   18.086622   66.269033   15.644345   100.000000
4.8700   18.023096   66.286202   15.690702   100.000000
4.8800   17.959793   66.303136   15.737071   100.000000
4.8900   17.896712   66.319835   15.783452   100.000000
4.9000   17.833853   66.336302   15.829845   100.000000
4.9100   17.771215   66.352536   15.876249   100.000000
4.9200   17.708796   66.368539   15.922664   100.000000
4.9300   17.646597   66.384312   15.969091   100.000000
4.9400   17.584617   66.399855   16.015528   100.000000
4.9500   17.522854   66.415170   16.061977   100.000000
4.9600   17.461308   66.430257   16.108435   100.000000
4.9700   17.399978   66.445118   16.154905   100.000000
4.9800   17.338863   66.459752   16.201384   100.000000
4.9900   17.277963   66.474162   16.247874   100.000000
5.0000   17.217277   66.488349   16.294374   100.000000
5.0100   17.156805   66.502312   16.340884   100.000000
5.0200   17.096544   66.516053   16.387403   100.000000
5.0300   17.036496   66.529573   16.433932   100.000000
5.0400   16.976658   66.542872   16.480470   100.000000
5.0500   16.917030   66.555952   16.527018   100.000000
5.0600   16.857612   66.568814   16.573574   100.000000
5.0700   16.798402   66.581458   16.620140   100.000000
5.0800   16.739401   66.593885   16.666714   100.000000
5.0900   16.680607   66.606097   16.713297   100.000000
5.1000   16.622019   66.618093   16.759888   100.000000
5.1100   16.563637   66.629876   16.806488   100.000000
5.1200   16.505460   66.641445   16.853095   100.000000
5.1300   16.447487   66.652802   16.899711   100.000000
